Salary,Taxable Income,Calculated Tax (Before Rebate),Cess 4%,Total Tax Payable
2519110,2444110,433233.0,17329.32,450562.32
2529084,2454084,436225.2,17449.01,453674.21
2656330,2581330,474399.0,18975.96,493374.96
1992743,1917743,275322.9,11012.92,286335.82
410268,335268,1763.4,0.0,0.0
1032180,957180,53577.0,1143.08,29720.08
2534489,2459489,437846.7,17513.87,455360.57
1870006,1795006,238501.8,9540.07,248041.87
2303274,2228274,368482.2,14739.29,383221.49
1436074,1361074,122214.8,4888.59,127103.39
2572355,2497355,449206.5,17968.26,467174.76
1539911,1464911,142982.2,5719.29,148701.49
578167,503167,10158.35,0.0,0.0
2438242,2363242,408972.6,16358.9,425331.5
629365,554365,12718.25,0.0,0.0
1087201,1012201,61830.15,1473.21,38303.36
1670455,1595455,178636.5,7145.46,185781.96
2066891,1991891,297567.3,11902.69,309469.99
627069,552069,12603.45,0.0,0.0
2125573,2050573,315171.9,12606.88,327778.78
1091743,1016743,62511.45,1500.46,39011.91
403355,328355,1417.75,0.0,0.0
1562752,1487752,147550.4,5902.02,153452.42
2581931,2506931,452079.3,18083.17,470162.47
1696025,1621025,186307.5,7452.3,193759.8
1770485,1695485,208645.5,8345.82,216991.32
1289436,1214436,92887.2,3715.49,96602.69
1607371,1532371,159711.3,6388.45,166099.75
2883384,2808384,542515.2,21700.61,564215.81
1217040,1142040,81306.0,2252.24,58558.24
1848762,1773762,232128.6,9285.14,241413.74
2553882,2478882,443664.6,17746.58,461411.18
2219486,2144486,343345.8,13733.83,357079.63
954811,879811,42981.1,719.24,18700.34
827035,752035,30203.5,208.14,5411.64
948143,873143,42314.3,692.57,18006.87
1800942,1725942,217782.6,8711.3,226493.9
365725,290725,0.0,0.0,0.0
384654,309654,482.7,0.0,0.0
1253277,1178277,86741.55,2469.66,64211.21
2254354,2179354,353806.2,14152.25,367958.45
2988875,2913875,574162.5,22966.5,597129.0
2716182,2641182,492354.6,19694.18,512048.78
2952991,2877991,563397.3,22535.89,585933.19
2670690,2595690,478707.0,19148.28,497855.28
2728388,2653388,496016.4,19840.66,515857.06
828178,753178,30317.8,212.71,5530.51
2963046,2888046,566413.8,22656.55,589070.35
2886644,2811644,543493.2,21739.73,565232.93
1605416,1530416,159124.8,6364.99,165489.79
2870406,2795406,538621.8,21544.87,560166.67
2746609,2671609,501482.7,20059.31,521542.01
1765689,1690689,207206.7,8288.27,215494.97
368148,293148,0.0,0.0,0.0
2125665,2050665,315199.5,12607.98,327807.48
2969995,2894995,568498.5,22739.94,591238.44
556508,481508,9075.4,0.0,0.0
1103591,1028591,64288.65,1571.55,40860.2
1196942,1121942,78291.3,2131.65,55422.95
2503682,2428682,428604.6,17144.18,445748.78
904365,829365,37936.5,517.46,13453.96
2170928,2095928,328778.4,13151.14,341929.54
2857489,2782489,534746.7,21389.87,556136.57
2073415,1998415,299524.5,11980.98,311505.48
2355555,2280555,384166.5,15366.66,399533.16
1105889,1030889,64633.35,1585.33,41218.68
1808349,1733349,220004.7,8800.19,228804.89
2605413,2530413,459123.9,18364.96,477488.86
1663715,1588715,176614.5,7064.58,183679.08
1520405,1445405,139081.0,5563.24,144644.24
571836,496836,9841.8,0.0,0.0
2395505,2320505,396151.5,15846.06,411997.56
2599435,2524435,457330.5,18293.22,475623.72
496769,421769,6088.45,0.0,0.0
2958505,2883505,565051.5,22602.06,587653.56
1571741,1496741,149348.2,5973.93,155322.13
1346797,1271797,104359.4,4174.38,108533.78
1884398,1809398,242819.4,9712.78,252532.18
2885031,2810031,543009.3,21720.37,564729.67
864685,789685,33968.5,358.74,9327.24
1702107,1627107,188132.1,7525.28,195657.38
1611736,1536736,161020.8,6440.83,167461.63
1307293,1232293,96458.6,3858.34,100316.94
879879,804879,35487.9,419.52,10907.42
323247,248247,0.0,0.0,0.0
1372876,1297876,109575.2,4383.01,113958.21
2930708,2855708,556712.4,22268.5,578980.9
1622905,1547905,164371.5,6574.86,170946.36
2067640,1992640,297792.0,11911.68,309703.68
2829467,2754467,526340.1,21053.6,547393.7
2913740,2838740,551622.0,22064.88,573686.88
1585160,1510160,153048.0,6121.92,159169.92
1910908,1835908,250772.4,10030.9,260803.3
2186222,2111222,333366.6,13334.66,346701.26
1278732,1203732,90746.4,3629.86,94376.26
1725472,1650472,195141.6,7805.66,202947.26
348984,273984,0.0,0.0,0.0
2700070,2625070,487521.0,19500.84,507021.84
2661864,2586864,476059.2,19042.37,495101.57
1804384,1729384,218815.2,8752.61,227567.81
2333643,2258643,377592.9,15103.72,392696.62
2530919,2455919,436775.7,17471.03,454246.73
2052126,1977126,293137.8,11725.51,304863.31
436330,361330,3066.5,0.0,0.0
2877906,2802906,540871.8,21634.87,562506.67
2037095,1962095,288628.5,11545.14,300173.64
2411138,2336138,400841.4,16033.66,416875.06
886146,811146,36114.6,444.58,11559.18
2409818,2334818,400445.4,16017.82,416463.22
2531785,2456785,437035.5,17481.42,454516.92
588998,513998,10699.9,0.0,0.0
2143400,2068400,320520.0,12820.8,333340.8
1379111,1304111,110822.2,4432.89,115255.09
1296107,1221107,94221.4,3768.86,97990.26
651279,576279,13813.95,0.0,0.0
2170230,2095230,328569.0,13142.76,341711.76
789570,714570,26457.0,58.28,1515.28
2350731,2275731,382719.3,15308.77,398028.07
1621685,1546685,164005.5,6560.22,170565.72
2421690,2346690,404007.0,16160.28,420167.28
2598816,2523816,457144.8,18285.79,475430.59
791234,716234,26623.4,64.94,1688.34
2248260,2173260,351978.0,14079.12,366057.12
439182,364182,3209.1,0.0,0.0
1821101,1746101,223830.3,8953.21,232783.51
1506914,1431914,136382.8,5455.31,141838.11
484064,409064,5453.2,0.0,0.0
514020,439020,6951.0,0.0,0.0
2272990,2197990,359397.0,14375.88,373772.88
1197421,1122421,78363.15,2134.53,55497.68
1994490,1919490,275847.0,11033.88,286880.88
1467752,1392752,128550.4,5142.02,133692.42
2616121,2541121,462336.3,18493.45,480829.75
422409,347409,2370.45,0.0,0.0
2316716,2241716,372514.8,14900.59,387415.39
2650770,2575770,472731.0,18909.24,491640.24
1069598,994598,59189.7,1367.59,35557.29
1398591,1323591,114718.2,4588.73,119306.93
1174371,1099371,74905.65,1996.23,51901.88
1759933,1684933,205479.9,8219.2,213699.1
1454454,1379454,125890.8,5035.63,130926.43
1273548,1198548,89782.2,2591.29,67373.49
1513475,1438475,137695.0,5507.8,143202.8
2321900,2246900,374070.0,14962.8,389032.8
1299238,1224238,94847.6,3793.9,98641.5
2228434,2153434,346030.2,13841.21,359871.41
679989,604989,15498.9,0.0,0.0
2812667,2737667,521300.1,20852.0,542152.1
343585,268585,0.0,0.0,0.0
1719945,1644945,193483.5,7739.34,201222.84
2461196,2386196,415858.8,16634.35,432493.15
2839448,2764448,529334.4,21173.38,550507.78
409556,334556,1727.8,0.0,0.0
1875557,1800557,240167.1,9606.68,249773.78
2361083,2286083,385824.9,15433.0,401257.9
500235,425235,6261.75,0.0,0.0
2423091,2348091,404427.3,16177.09,420604.39
2309021,2234021,370206.3,14808.25,385014.55
1501482,1426482,135296.4,5411.86,140708.26
842335,767335,31733.5,269.34,7002.84
375766,300766,38.3,0.0,0.0
2806075,2731075,519322.5,20772.9,540095.4
2965702,2890702,567210.6,22688.42,589899.02
2784413,2709413,512823.9,20512.96,533336.86
2001240,1926240,277872.0,11114.88,288986.88
1284346,1209346,91869.2,3674.77,95543.97
1803165,1728165,218449.5,8737.98,227187.48
2535000,2460000,438000.0,17520.0,455520.0
427948,352948,2647.4,0.0,0.0
1927880,1852880,255864.0,10234.56,266098.56
702690,627690,17769.0,0.0,0.0
799046,724046,27404.6,96.18,2500.78
2848421,2773421,532026.3,21281.05,553307.35
321959,246959,0.0,0.0,0.0
2098792,2023792,307137.6,12285.5,319423.1
2254109,2179109,353732.7,14149.31,367882.01
2138756,2063756,319126.8,12765.07,331891.87
528576,453576,7678.8,0.0,0.0
2562990,2487990,446397.0,17855.88,464252.88
1684250,1609250,182775.0,7311.0,190086.0
361087,286087,0.0,0.0,0.0
1313343,1238343,97668.6,3906.74,101575.34
2382263,2307263,392178.9,15687.16,407866.06
2515603,2440603,432180.9,17287.24,449468.14
1796176,1721176,216352.8,8654.11,225006.91
2186013,2111013,333303.9,13332.16,346636.06
739792,664792,21479.2,0.0,0.0
339353,264353,0.0,0.0,0.0
2590227,2515227,454568.1,18182.72,472750.82
365318,290318,0.0,0.0,0.0
1065313,990313,58546.95,1341.88,34888.83
1831266,1756266,226879.8,9075.19,235954.99
716880,641880,19188.0,0.0,0.0
2988612,2913612,574083.6,22963.34,597046.94
1070746,995746,59361.9,1374.48,35736.38
1113168,1038168,65725.2,1629.01,42354.21
525281,450281,7514.05,0.0,0.0
1700804,1625804,187741.2,7509.65,195250.85
1780415,1705415,211624.5,8464.98,220089.48
569536,494536,9726.8,0.0,0.0
2714976,2639976,491992.8,19679.71,511672.51
1606002,1531002,159300.6,6372.02,165672.62
477789,402789,5139.45,0.0,0.0
1861729,1786729,236018.7,9440.75,245459.45
1137291,1062291,69343.65,1773.75,46117.4
2522809,2447809,434342.7,17373.71,451716.41
1583743,1508743,152622.9,6104.92,158727.82
981669,906669,46000.35,840.01,21840.36
1419043,1344043,118808.6,4752.34,123560.94
2506903,2431903,429570.9,17182.84,446753.74
1729626,1654626,196387.8,7855.51,204243.31
2041093,1966093,289827.9,11593.12,301421.02
2858231,2783231,534969.3,21398.77,556368.07
2765604,2690604,507181.2,20287.25,527468.45
2318163,2243163,372948.9,14917.96,387866.86
406081,331081,1554.05,0.0,0.0
1961909,1886909,266072.7,10642.91,276715.61
2956138,2881138,564341.4,22573.66,586915.06
410078,335078,1753.9,0.0,0.0
2215631,2140631,342189.3,13687.57,355876.87
2419823,2344823,403446.9,16137.88,419584.78
1766976,1691976,207592.8,8303.71,215896.51
1704104,1629104,188731.2,7549.25,196280.45
2308187,2233187,369956.1,14798.24,384754.34
1959066,1884066,265219.8,10608.79,275828.59
2448815,2373815,412144.5,16485.78,428630.28
611955,536955,11847.75,0.0,0.0
2509699,2434699,430409.7,17216.39,447626.09
1210681,1135681,80352.15,2214.09,57566.24
1907618,1832618,249785.4,9991.42,259776.82
442483,367483,3374.15,0.0,0.0
2333350,2258350,377505.0,15100.2,392605.2
2611987,2536987,461096.1,18443.84,479539.94
701896,626896,17689.6,0.0,0.0
2482048,2407048,422114.4,16884.58,438998.98
777095,702095,25209.5,8.38,217.88
371295,296295,0.0,0.0,0.0
1043974,968974,55346.1,1213.84,31559.94
1187121,1112121,76818.15,2072.73,53890.88
1356731,1281731,106346.2,4253.85,110600.05
1125816,1050816,67622.4,1704.9,44327.3
674705,599705,14985.25,0.0,0.0
2156926,2081926,324577.8,12983.11,337560.91
1958845,1883845,265153.5,10606.14,275759.64
2326793,2251793,375537.9,15021.52,390559.42
854594,779594,32959.4,318.38,8277.78
447718,372718,3635.9,0.0,0.0
945263,870263,42026.3,681.05,17707.35
2504664,2429664,428899.2,17155.97,446055.17
447443,372443,3622.15,0.0,0.0
1819163,1744163,223248.9,8929.96,232178.86
673616,598616,14930.8,0.0,0.0
986976,911976,46796.4,871.86,22668.26
1714447,1639447,191834.1,7673.36,199507.46
2772189,2697189,509156.7,20366.27,529522.97
417796,342796,2139.8,0.0,0.0
1541082,1466082,143216.4,5728.66,148945.06
1290198,1215198,93039.6,3721.58,96761.18
998376,923376,48506.4,940.26,24446.66
2666696,2591696,477508.8,19100.35,496609.15
2777154,2702154,510646.2,20425.85,531072.05
998002,923002,48450.3,938.01,24388.31
1888015,1813015,243904.5,9756.18,253660.68
2988130,2913130,573939.0,22957.56,596896.56
1879159,1804159,241247.7,9649.91,250897.61
1207317,1132317,79847.55,2193.9,57041.45
2785367,2710367,513110.1,20524.4,533634.5
621184,546184,12309.2,0.0,0.0
2147191,2072191,321657.3,12866.29,334523.59
